co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100114,Pública,2025,4.0,0.934925,,4.301832,264.27,260.32,93.7
1100122,Estadual,2017,4.0,0.880091,,4.489372,265.68,272.17,87.7
1100122,Estadual,2019,4.2,0.860667,4.2,4.822687,279.83,280.82,85.3
1100122,Estadual,2021,4.2,0.913903,4.4,4.587551,273.58,270.74,91.4
1100122,Estadual,2023,4.1,0.93253,,4.422879,267.74,265.24,92.7
1100122,Estadual,2025,4.0,0.906994,,4.371748,267.58,261.77,90.9
1100122,Federal,2017,5.5,0.921836,,5.999513,318.24,323.67,91.7
1100122,Federal,2019,,,5.7,,,,
1100122,Federal,2021,,,5.9,,,,
1100122,Federal,2023,,0.965528,,,,,96.5
1100122,Federal,2025,,0.899486,,,,,89.9
1100122,Pública,2017,4.2,0.896586,,4.663808,271.75,278.12,88.4
1100122,Pública,2019,4.2,0.871525,4.4,4.822687,279.83,280.82,86.5
1100122,Pública,2021,4.2,0.912179,4.6,4.587551,273.58,270.74,91.1
1100122,Pública,2023,4.3,0.935556,,4.562105,272.49,270.09,93.1
1100122,Pública,2025,4.1,0.906155,,4.481282,271.51,265.38,90.8
1100130,Estadual,2017,4.3,0.933206,,4.62683,272.77,274.4,93.5
1100130,Estadual,2019,4.0,0.865115,4.5,4.65455,272.37,276.8,85.8
1100130,Estadual,2021,3.9,0.880899,4.7,4.378472,268.32,261.46,87.7
1100130,Estadual,2023,3.8,0.883864,,4.244378,261.83,258.83,87.2
1100130,Estadual,2025,,0.911569,,,,,90.9
1100130,Pública,2017,4.3,0.933206,,4.62683,272.77,274.4,93.5
1100130,Pública,2019,4.0,0.865115,4.5,4.65455,272.37,276.8,85.8
1100130,Pública,2021,3.9,0.880899,4.7,4.378472,268.32,261.46,87.7
1100130,Pública,2023,3.8,0.883864,,4.244378,261.83,258.83,87.2
1100130,Pública,2025,,0.911569,,,,,90.9
1100148,Estadual,2017,,0.786251,,,,,78.5
1100148,Estadual,2019,4.6,0.899515,,5.117199,284.98,296.3,89.4
1100148,Estadual,2021,,0.820361,4.8,,,,81.3
1100148,Estadual,2023,4.7,0.963857,,4.91346,286.1,280.6,96.3
1100148,Estadual,2025,4.1,0.909548,,4.510073,269.99,269.05,91.1
1100148,Pública,2017,,0.786251,,,,,78.5
1100148,Pública,2019,4.6,0.899515,,5.117199,284.98,296.3,89.4
1100148,Pública,2021,,0.820361,4.8,,,,81.3
1100148,Pública,2023,4.7,0.963857,,4.91346,286.1,280.6,96.3
1100148,Pública,2025,4.1,0.909548,,4.510073,269.99,269.05,91.1
1100155,Estadual,2017,3.7,0.791125,,4.661407,272.95,276.67,77.1
1100155,Estadual,2019,4.2,0.826464,3.9,5.120887,290.03,291.18,81.0
1100155,Estadual,2021,4.1,0.853128,4.1,4.845717,281.04,281.17,85.1
1100155,Estadual,2023,4.3,0.883732,,4.815063,280.09,280.0,87.5
1100155,Estadual,2025,4.0,0.90028,,4.47411,268.16,268.44,90.0
1100155,Pública,2017,3.7,0.791125,,4.661407,272.95,276.67,77.1
1100155,Pública,2019,4.2,0.826464,3.9,5.120887,290.03,291.18,81.0
1100155,Pública,2021,4.1,0.853128,4.1,4.845717,281.04,281.17,85.1
1100155,Pública,2023,4.3,0.883732,,4.815063,280.09,280.0,87.5
1100155,Pública,2025,4.0,0.90028,,4.47411,268.16,268.44,90.0
1100189,Estadual,2017,3.5,0.912062,,3.868765,247.2,247.68,90.4
1100189,Estadual,2019,4.0,0.902231,3.7,4.479838,265.85,271.31,89.9
1100189,Estadual,2021,4.4,0.886824,4.0,5.012099,285.54,288.22,88.5
1100189,Estadual,2023,3.8,0.841793,,4.495777,270.63,267.35,83.0
1100189,Estadual,2025,4.2,0.914024,,4.558937,273.62,268.66,91.6
1100189,Pública,2017,3.5,0.912062,,3.868765,247.2,247.68,90.4
1100189,Pública,2019,4.0,0.902231,3.7,4.479838,265.85,271.31,89.9
1100189,Pública,2021,4.4,0.886824,4.0,5.012099,285.54,288.22,88.5
1100189,Pública,2023,3.8,0.841793,,4.495777,270.63,267.35,83.0
1100189,Pública,2025,4.2,0.914024,,4.558937,273.62,268.66,91.6
1100205,Estadual,2017,3.6,0.801578,,4.54064,271.15,269.99,78.9
1100205,Estadual,2019,3.8,0.804749,3.9,4.758421,280.35,275.69,79.5
1100205,Estadual,2021,3.8,0.847984,4.1,4.456487,272.49,262.57,84.4
1100205,Estadual,2023,3.9,0.882063,,4.460156,271.75,263.62,87.8
1100205,Estadual,2025,3.9,0.89025,,4.424436,270.03,262.91,88.8
1100205,Federal,2017,,0.863335,,,,,85.2
1100205,Federal,2019,5.6,0.938205,,5.958618,317.91,321.11,93.3
1100205,Federal,2021,,,5.8,,,,
1100205,Federal,2023,,0.935225,,,,,93.5
1100205,Federal,2025,5.5,0.946652,,5.792112,320.26,306.75,94.5
1100205,Pública,2017,3.8,0.819671,,4.611485,273.49,272.54,79.2
1100205,Pública,2019,4.1,0.849141,4.0,4.881945,284.22,280.36,80.4
1100205,Pública,2021,3.8,0.844596,4.2,4.456487,272.49,262.57,84.1
1100205,Pública,2023,4.0,0.884428,,4.52546,273.87,266.01,88.1
1100205,Pública,2025,4.0,0.893572,,4.501492,272.86,265.38,89.1
1100254,Estadual,2017,4.3,0.976521,,4.359628,262.07,266.78,96.9
1100254,Estadual,2019,4.5,0.944558,4.5,4.729726,274.23,280.17,93.9
1100254,Estadual,2021,4.1,0.972262,4.7,4.247213,257.0,264.18,97.3
1100254,Estadual,2023,4.4,0.96082,,4.589489,277.8,266.38,95.7
1100254,Estadual,2025,4.2,0.95282,,4.452049,268.3,266.72,95.3
1100254,Pública,2017,4.3,0.976521,,4.359628,262.07,266.78,96.9
1100254,Pública,2019,4.5,0.944558,4.5,4.729726,274.23,280.17,93.9
1100254,Pública,2021,4.1,0.972262,4.7,4.247213,257.0,264.18,97.3
1100254,Pública,2023,4.4,0.96082,,4.589489,277.8,266.38,95.7
1100254,Pública,2025,4.2,0.95282,,4.452049,268.3,266.72,95.3
1100262,Estadual,2017,4.3,0.934357,,4.585223,260.74,284.26,92.7
1100262,Estadual,2019,4.0,0.932381,4.5,4.314339,261.09,264.6,92.4
1100262,Estadual,2021,,0.97003,4.7,,,,97.5
1100262,Estadual,2023,4.3,0.945393,,4.53973,266.37,275.02,95.3
1100262,Estadual,2025,4.0,0.915873,,4.363415,264.19,264.79,92.2
1100262,Pública,2017,4.3,0.934357,,4.585223,260.74,284.26,92.7
1100262,Pública,2019,4.0,0.932381,4.5,4.314339,261.09,264.6,92.4
1100262,Pública,2021,,0.97003,4.7,,,,97.5
1100262,Pública,2023,4.3,0.945393,,4.53973,266.37,275.02,95.3
1100262,Pública,2025,4.0,0.915873,,4.363415,264.19,264.79,92.2
1100288,Estadual,2017,4.4,0.930599,,4.714415,277.72,275.36,92.2
1100288,Estadual,2019,4.7,0.929535,4.6,5.020538,286.92,287.35,92.4
1100288,Estadual,2021,4.6,0.967205,4.8,4.775259,280.94,276.26,96.8
1100288,Estadual,2023,4.6,0.961607,,4.75841,277.15,279.1,95.9
1100288,Estadual,2025,4.4,0.94441,,4.649698,276.69,271.85,94.6
1100288,Pública,2017,4.4,0.930599,,4.714415,277.72,275.36,92.2
1100288,Pública,2019,4.7,0.929535,4.6,5.020538,286.92,287.35,92.4
1100288,Pública,2021,4.6,0.967205,4.8,4.775259,280.94,276.26,96.8
1100288,Pública,2023,4.6,0.961607,,4.75841,277.15,279.1,95.9
1100288,Pública,2025,4.4,0.94441,,4.649698,276.69,271.85,94.6
1100296,Estadual,2017,4.2,1.0,,4.192939,255.72,261.68,100.0
1100296,Estadual,2019,4.7,0.909431,4.4,5.167077,290.01,294.49,90.4
1100296,Estadual,2021,,1.0,4.6,,,,100.0
1100296,Estadual,2023,4.5,0.989609,,4.547192,274.74,266.63,99.3
1100296,Estadual,2025,4.3,1.0,,4.306555,263.91,261.04,100.0
1100296,Pública,2017,4.2,1.0,,4.192939,255.72,261.68,100.0
1100296,Pública,2019,4.7,0.909431,4.4,5.167077,290.01,294.49,90.4
1100296,Pública,2021,,1.0,4.6,,,,100.0
